identifier,category,enum_type,description
圣诞帽弹跳,Text Animations,TextIntro,Free
圣诞树弹跳II,Text Animations,TextIntro,Free
弹入跳动,Text Animations,TextIntro,Free
弹性伸缩_II,Text Animations,TextIntro,Free
心动瞬间,Text Animations,TextIntro,Free
慢速放大,Text Animations,TextIntro,Free
打字光标,Text Animations,TextIntro,Free
抖动甩入,Text Animations,TextIntro,Free
折叠,Text Animations,TextIntro,Free
描边填充,Text Animations,TextIntro,Free
放大震动,Text Animations,TextIntro,Free
故障闪动,Text Animations,TextIntro,Free
新年打字机,Text Animations,TextIntro,Free
旋转缩放,Text Animations,TextIntro,Free
旋转飞入,Text Animations,TextIntro,Free
星光闪闪,Text Animations,TextIntro,Free
星光闪闪_II,Text Animations,TextIntro,Free
星星弹跳,Text Animations,TextIntro,Free
模糊发光,Text Animations,TextIntro,Free
模糊滚动,Text Animations,TextIntro,Free
模糊缩小,Text Animations,TextIntro,Free
汇聚,Text Animations,TextIntro,Free
波浪弹跳,Text Animations,TextIntro,Free
流光扩散,Text Animations,TextIntro,Free
滚入,Text Animations,TextIntro,Free
激光雕刻,Text Animations,TextIntro,Free
爱心弹跳,Text Animations,TextIntro,Free
玩雪,Text Animations,TextIntro,Free
环绕滑入,Text Animations,TextIntro,Free
生长_II,Text Animations,TextIntro,Free
电光,Text Animations,TextIntro,Free
电光_II,Text Animations,TextIntro,Free
碰碰车,Text Animations,TextIntro,Free
空翻,Text Animations,TextIntro,Free
缤纷冲屏,Text Animations,TextIntro,Free
缩放_III,Text Animations,TextIntro,Free
翻页II,Text Animations,TextIntro,Free
背景滑入,Text Animations,TextIntro,Free
色散拖影,Text Animations,TextIntro,Free
螺旋上升,Text Animations,TextIntro,Free
跃进,Text Animations,TextIntro,Free
跳跳捣蛋鬼,Text Animations,TextIntro,Free
跳跳糖,Text Animations,TextIntro,Free
辉光,Text Animations,TextIntro,Free
辉光扫描,Text Animations,TextIntro,Free
逐字弹跳,Text Animations,TextIntro,Free
逐字旋入,Text Animations,TextIntro,Free
金粉飘落,Text Animations,TextIntro,Free
镂空跳入,Text Animations,TextIntro,Free
闪烁集合,Text Animations,TextIntro,Free
随机上升,Text Animations,TextIntro,Free
随机弹跳_II,Text Animations,TextIntro,Free
随机打字机,Text Animations,TextIntro,Free
随机落下,Text Animations,TextIntro,Free
随机集合,Text Animations,TextIntro,Free
雪光模糊,Text Animations,TextIntro,Free
音符弹跳,Text Animations,TextIntro,Free
顶出,Text Animations,TextIntro,Free
预览打字,Text Animations,TextIntro,Free
飞入,Text Animations,TextIntro,Free
鼠标点击,Text Animations,TextIntro,Free
