identifier,category,enum_type,description
枫叶遮罩,Video Intro Animations,IntroType,Free
模糊聚焦,Video Intro Animations,IntroType,Free
横向模糊,Video Intro Animations,IntroType,Free
水墨,Video Intro Animations,IntroType,Free
水滴遮罩,Video Intro Animations,IntroType,Free
油画描边变色,Video Intro Animations,IntroType,Free
波纹弹动,Video Intro Animations,IntroType,Free
流金,Video Intro Animations,IntroType,Free
游蛇开幕,Video Intro Animations,IntroType,Free
滑片滑动,Video Intro Animations,IntroType,Free
灼烧出现,Video Intro Animations,IntroType,Free
点开,Video Intro Animations,IntroType,Free
烟雾弹,Video Intro Animations,IntroType,Free
照片回忆,Video Intro Animations,IntroType,Free
爱心碰撞,Video Intro Animations,IntroType,Free
玫瑰,Video Intro Animations,IntroType,Free
玻璃聚集,Video Intro Animations,IntroType,Free
画出爱心,Video Intro Animations,IntroType,Free
画面擦除,Video Intro Animations,IntroType,Free
砸出波纹,Video Intro Animations,IntroType,Free
神奇弹窗,Video Intro Animations,IntroType,Free
空间扭曲,Video Intro Animations,IntroType,Free
立体交叉,Video Intro Animations,IntroType,Free
立体翻转,Video Intro Animations,IntroType,Free
立方分体,Video Intro Animations,IntroType,Free
竖向拼接,Video Intro Animations,IntroType,Free
粒子爱心,Video Intro Animations,IntroType,Free
翻书,Video Intro Animations,IntroType,Free
翻卡,Video Intro Animations,IntroType,Free
老电视,Video Intro Animations,IntroType,Free
聚合,Video Intro Animations,IntroType,Free
能量立方,Video Intro Animations,IntroType,Free
脉冲,Video Intro Animations,IntroType,Free
色散波纹,Video Intro Animations,IntroType,Free
荧光爆闪,Video Intro Animations,IntroType,Free
负片闪屏,Video Intro Animations,IntroType,Free
转圈圈,Video Intro Animations,IntroType,Free
迷幻流光,Video Intro Animations,IntroType,Free
金沙,Video Intro Animations,IntroType,Free
钱币遮罩,Video Intro Animations,IntroType,Free
镜面组成,Video Intro Animations,IntroType,Free
闪屏,Video Intro Animations,IntroType,Free
闪现,Video Intro Animations,IntroType,Free
闪电分屏,Video Intro Animations,IntroType,Free
雪花遮罩,Video Intro Animations,IntroType,Free
震动波纹,Video Intro Animations,IntroType,Free
震撼倒数,Video Intro Animations,IntroType,Free
震波,Video Intro Animations,IntroType,Free
震波_II,Video Intro Animations,IntroType,Free
震波_III,Video Intro Animations,IntroType,Free
鞭炮遮罩,Video Intro Animations,IntroType,Free
音量大小,Video Intro Animations,IntroType,Free
飞近,Video Intro Animations,IntroType,Free
马赛克,Video Intro Animations,IntroType,Free
魔方_III,Video Intro Animations,IntroType,Free
魔法粒子I,Video Intro Animations,IntroType,Free
魔法粒子II,Video Intro Animations,IntroType,Free
黑白画中画,Video Intro Animations,IntroType,Free
