identifier,category,enum_type,description
条形模糊,Transitions,TransitionType,Free
模糊放大,Transitions,TransitionType,Free
模糊细闪,Transitions,TransitionType,Free
模糊缩小,Transitions,TransitionType,Free
横向分屏,Transitions,TransitionType,Free
横向滑动,Transitions,TransitionType,Free
横向震动,Transitions,TransitionType,Free
横条挤压,Transitions,TransitionType,Free
横移模糊,Transitions,TransitionType,Free
樱花飞舞,Transitions,TransitionType,Free
水墨,Transitions,TransitionType,Free
水滴,Transitions,TransitionType,Free
水滴_II,Transitions,TransitionType,Free
水滴_III,Transitions,TransitionType,Free
水滴溶解,Transitions,TransitionType,Free
汇聚,Transitions,TransitionType,Free
泡泡模糊,Transitions,TransitionType,Free
波光粼粼,Transitions,TransitionType,Free
波动,Transitions,TransitionType,Free
波动_II,Transitions,TransitionType,Free
波动故障,Transitions,TransitionType,Free
泼墨晕染,Transitions,TransitionType,Free
流光,Transitions,TransitionType,Free
涂鸦放大,Transitions,TransitionType,Free
溶解推进,Transitions,TransitionType,Free
滑动压迫感,Transitions,TransitionType,Free
滑动弹出,Transitions,TransitionType,Free
滑动放大,Transitions,TransitionType,Free
滑块拼贴,Transitions,TransitionType,Free
滚动立方,Transitions,TransitionType,Free
漩涡扭曲,Transitions,TransitionType,Free
漫画撕纸,Transitions,TransitionType,Free
火焰湍流,Transitions,TransitionType,Free
炫光弹动,Transitions,TransitionType,Free
炫光扫描,Transitions,TransitionType,Free
炫光扭动,Transitions,TransitionType,Free
炸弹,Transitions,TransitionType,Free
烟花光斑,Transitions,TransitionType,Free
烟雾弹,Transitions,TransitionType,Free
热成像,Transitions,TransitionType,Free
燃烧,Transitions,TransitionType,Free
燃烧_II,Transitions,TransitionType,Free
燃烧_III,Transitions,TransitionType,Free
爆米花,Transitions,TransitionType,Free
爆闪,Transitions,TransitionType,Free
爆闪_II,Transitions,TransitionType,Free
爱心冲击,Transitions,TransitionType,Free
爱心模糊,Transitions,TransitionType,Free
爱心气球,Transitions,TransitionType,Free
爱心软糖,Transitions,TransitionType,Free
爱心遮罩,Transitions,TransitionType,Free
环回推近,Transitions,TransitionType,Free
环形色散,Transitions,TransitionType,Free
玻璃破碎,Transitions,TransitionType,Free
玻璃破碎_II,Transitions,TransitionType,Free
珠光模糊,Transitions,TransitionType,Free
生气,Transitions,TransitionType,Free
电光_II,Transitions,TransitionType,Free
电流,Transitions,TransitionType,Free
畸变回弹,Transitions,TransitionType,Free
百叶窗_II,Transitions,TransitionType,Free
相机缩小,Transitions,TransitionType,Free
相片切换,Transitions,TransitionType,Free
礼物落下,Transitions,TransitionType,Free
空间上移,Transitions,TransitionType,Free
空间弹动,Transitions,TransitionType,Free
空间弹动_II,Transitions,TransitionType,Free
空间弹动_III,Transitions,TransitionType,Free
空间弹动_IV,Transitions,TransitionType,Free
空间旋转,Transitions,TransitionType,Free
空间旋转_II,Transitions,TransitionType,Free
空间旋转_III,Transitions,TransitionType,Free
空间翻转,Transitions,TransitionType,Free
空间翻转_II,Transitions,TransitionType,Free
空间跳跃,Transitions,TransitionType,Free
穿越,Transitions,TransitionType,Free
穿越_II,Transitions,TransitionType,Free
穿越_III,Transitions,TransitionType,Free
立体旋转,Transitions,TransitionType,Free
立体翻转,Transitions,TransitionType,Free
立体翻页,Transitions,TransitionType,Free
立体翻页_II,Transitions,TransitionType,Free
立方旋转,Transitions,TransitionType,Free
竖向拉伸,Transitions,TransitionType,Free
竖移模糊,Transitions,TransitionType,Free
笔迹涂抹,Transitions,TransitionType,Free
粉色反转片,Transitions,TransitionType,Free
红包雨,Transitions,TransitionType,Free
纵向滑动,Transitions,TransitionType,Free
纸团,Transitions,TransitionType,Free
翻书转场,Transitions,TransitionType,Free
翻转冲屏,Transitions,TransitionType,Free
翻页_II,Transitions,TransitionType,Free
聚光灯,Transitions,TransitionType,Free
胶卷滑动,Transitions,TransitionType,Free
胶片切闪,Transitions,TransitionType,Free
胶片擦除,Transitions,TransitionType,Free
胶片融化,Transitions,TransitionType,Free
胶片闪光,Transitions,TransitionType,Free
色块故障,Transitions,TransitionType,Free
色差故障,Transitions,TransitionType,Free
色彩溶解_IV,Transitions,TransitionType,Free
色彩溶解_V,Transitions,TransitionType,Free
色彩负片,Transitions,TransitionType,Free
色散晃镜,Transitions,TransitionType,Free
色散波纹,Transitions,TransitionType,Free
色散漩涡,Transitions,TransitionType,Free
色散闪烁,Transitions,TransitionType,Free
色散闪烁_II,Transitions,TransitionType,Free
草图转场,Transitions,TransitionType,Free
荧光爆闪,Transitions,TransitionType,Free
菱格翻转,Transitions,TransitionType,Free
蓝光扫描,Transitions,TransitionType,Free
蓝色反转片,Transitions,TransitionType,Free
虹光旋入,Transitions,TransitionType,Free
融化,Transitions,TransitionType,Free
融化_II,Transitions,TransitionType,Free
课本转场,Transitions,TransitionType,Free
负片下滑,Transitions,TransitionType,Free
赛博马赛克,Transitions,TransitionType,Free
超赞,Transitions,TransitionType,Free
边框切换,Transitions,TransitionType,Free
运镜压缩,Transitions,TransitionType,Free
迷幻波纹,Transitions,TransitionType,Free
迷幻频闪,Transitions,TransitionType,Free
透镜故障,Transitions,TransitionType,Free
重叠上滑,Transitions,TransitionType,Free
金币祝福,Transitions,TransitionType,Free
金沙,Transitions,TransitionType,Free
金色光斑,Transitions,TransitionType,Free
钱兔无量,Transitions,TransitionType,Free
镜头速移,Transitions,TransitionType,Free
长曝光,Transitions,TransitionType,Free
闪光灯_II,Transitions,TransitionType,Free
闪光灯_III,Transitions,TransitionType,Free
闪回,Transitions,TransitionType,Free
闪屏故障,Transitions,TransitionType,Free
闪黑_II,Transitions,TransitionType,Free
闹钟,Transitions,TransitionType,Free
雨刷转场,Transitions,TransitionType,Free
雪花叠化,Transitions,TransitionType,Free
雪花四散,Transitions,TransitionType,Free
雪花环绕,Transitions,TransitionType,Free
雪雾,Transitions,TransitionType,Free
震动_II,Transitions,TransitionType,Free
震动缩小,Transitions,TransitionType,Free
霓虹闪光,Transitions,TransitionType,Free
霓虹闪光_II,Transitions,TransitionType,Free
顺时针三角,Transitions,TransitionType,Free
飘雪,Transitions,TransitionType,Free
飘雪_II,Transitions,TransitionType,Free
马赛克_II,Transitions,TransitionType,Free
马赛克III,Transitions,TransitionType,Free
鱼眼,Transitions,TransitionType,Free
鱼眼_II,Transitions,TransitionType,Free
鱼眼_III,Transitions,TransitionType,Free
鱼眼波纹,Transitions,TransitionType,Free
鸿运四叶草,Transitions,TransitionType,Free
黑板擦除,Transitions,TransitionType,Free
黑白摇镜,Transitions,TransitionType,Free
黑色反转片,Transitions,TransitionType,Free
